Theta1,Theta1_dot, Theta2, Theta2_dot
3.605070,2.140783,4.966883,5.093632
3.615908,2.185201,4.992655,5.124964
3.626970,2.230292,5.018584,5.154629
3.638261,2.276052,5.044661,5.182530
3.649782,2.322478,5.070877,5.208567
3.661538,2.369562,5.097222,5.232636
3.673532,2.417300,5.123687,5.254632
3.685767,2.465685,5.150261,5.274445
3.698246,2.514708,5.176932,5.291965
3.710973,2.564362,5.203689,5.307076
3.723951,2.614636,5.230520,5.319661
3.737183,2.665521,5.257412,5.329602
3.750671,2.717006,5.284351,5.336775
3.764420,2.769079,5.311324,5.341055
3.778432,2.821727,5.338315,5.342315
3.792709,2.874937,5.365309,5.340424
3.807255,2.928695,5.392290,5.335249
3.822073,2.982985,5.419242,5.326656
3.837165,3.037792,5.446147,5.314507
3.852534,3.093098,5.472987,5.298662
3.868181,3.148886,5.499743,5.278978
3.884111,3.205138,5.526397,5.255311
3.900325,3.261833,5.552926,5.227514
3.916825,3.318951,5.579312,5.195437
3.933613,3.376471,5.605531,5.158930
3.950692,3.434370,5.631562,5.117837
3.968063,3.492624,5.657381,5.072004
3.985728,3.551209,5.682964,5.021272
4.003690,3.610098,5.708287,4.965480
4.021948,3.669265,5.733324,4.904467
4.040505,3.728680,5.758048,4.838066
4.059362,3.788314,5.782432,4.766111
4.078520,3.848136,5.806448,4.688433
4.097980,3.908112,5.830067,4.604862
4.117743,3.968208,5.853259,4.515225
4.137809,4.028387,5.875994,4.419348
4.158179,4.088610,5.898239,4.317057
4.178852,4.148839,5.919964,4.208175
4.199830,4.209029,5.941133,4.092527
4.221111,4.269137,5.961713,3.969939
4.242695,4.329115,5.981669,3.840237
4.264582,4.388915,6.000965,3.703249
4.286770,4.448485,6.019565,3.558808
4.309259,4.507771,6.037429,3.406752
4.332047,4.566716,6.054520,3.246926
4.355132,4.625262,6.070799,3.079184
4.378511,4.683348,6.086226,2.903391
4.402184,4.740909,6.100759,2.719428
4.426146,4.797882,6.114359,2.527189
4.450396,4.854198,6.126982,2.326594
4.474929,4.909791,6.138587,2.117585
4.499741,4.964591,6.149131,1.900131
4.524830,5.018529,6.158572,1.674237
4.550189,5.071537,6.166867,1.439946
4.575816,5.123548,6.173974,1.197343
4.601703,5.174496,6.179852,0.946561
4.627847,5.224321,6.184458,0.687787
4.654241,5.272965,6.187753,0.421268
4.680879,5.320378,6.189698,0.147314
4.707754,5.366517,6.190257,-0.133699
4.734862,5.411347,6.189393,-0.421320
4.762193,5.454843,6.187073,-0.715023
4.789743,5.496990,6.183268,-1.014206
4.817504,5.537788,6.177951,-1.318186
