Theta1,Theta1dot, Theta2, Theta2dot
-0.758402,0.571247,1.067117,5.374175
-0.755329,0.714541,1.094043,5.322674
-0.751536,0.856338,1.120711,5.271904
-0.747029,0.996620,1.147125,5.221540
-0.741817,1.135374,1.173287,5.171278
-0.735907,1.272591,1.199195,5.120828
-0.729307,1.408264,1.224851,5.069917
-0.722026,1.542390,1.250250,5.018289
-0.714071,1.674963,1.275389,4.965702
-0.705449,1.805978,1.300264,4.911928
-0.696170,1.935432,1.324867,4.856753
-0.686241,2.063317,1.349192,4.799971
-0.675669,2.189625,1.373230,4.741391
-0.664464,2.314346,1.396972,4.680828
-0.652632,2.437467,1.420409,4.618105
-0.640183,2.558973,1.443528,4.553053
-0.627124,2.678846,1.466318,4.485509
-0.613464,2.797063,1.488766,4.415314
-0.599211,2.913601,1.510859,4.342313
-0.584374,3.028431,1.532582,4.266352
-0.568962,3.141521,1.553921,4.187282
-0.552983,3.252835,1.574859,4.104954
-0.536446,3.362333,1.595380,4.019218
-0.519361,3.469971,1.615467,3.929927
-0.501737,3.575700,1.635101,3.836932
-0.483585,3.679468,1.654264,3.740083
-0.464913,3.781216,1.672936,3.639230
-0.445732,3.880881,1.691097,3.534222
-0.426053,3.978393,1.708725,3.424907
-0.405887,4.073680,1.725799,3.311133
-0.385245,4.166660,1.742297,3.192749
-0.364139,4.257247,1.758194,3.069605
-0.342582,4.345349,1.773467,2.941551
-0.320585,4.430867,1.788091,2.808443
-0.298162,4.513694,1.802039,2.670142
-0.275327,4.593718,1.815287,2.526514
-0.252094,4.670819,1.827806,2.377438
-0.228478,4.744871,1.839570,2.222801
-0.204495,4.815742,1.850550,2.062507
-0.180160,4.883291,1.860718,1.896478
-0.155491,4.947375,1.870044,1.724658
-0.130506,5.007843,1.878500,1.547017
-0.105222,5.064543,1.886056,1.363554
-0.079659,5.117319,1.892682,1.174305
-0.053837,5.166015,1.898351,0.979344
-0.027777,5.210476,1.903032,0.778788
-0.001501,5.250551,1.906699,0.572804
0.024970,5.286096,1.909323,0.361612
0.051612,5.316979,1.910880,0.145487
0.078401,5.343078,1.911344,-0.075236
0.105314,5.364293,1.910692,-0.300161
0.132325,5.380543,1.908905,-0.528831
0.159410,5.391774,1.905963,-0.760727
0.186542,5.397963,1.901852,-0.995273
0.213697,5.399117,1.896558,-1.231841
0.240848,5.395284,1.890072,-1.469754
0.267972,5.386546,1.882388,-1.708298
0.295043,5.373028,1.873504,-1.946732
0.322036,5.354891,1.863421,-2.184298
0.348930,5.332333,1.852145,-2.420235
0.375702,5.305587,1.839684,-2.653790
0.402331,5.274913,1.826052,-2.884231
0.428798,5.240592,1.811265,-3.110860
0.455084,5.202922,1.795344,-3.333020
0.481174,5.162206,1.778311,-3.550105
0.507052,5.118745,1.760193,-3.761562
0.532705,5.072834,1.741019,-3.966897
0.558121,5.024749,1.720820,-4.165673
0.583290,4.974745,1.699630,-4.357508
0.608203,4.923047,1.677485,-4.542072
0.632850,4.869853,1.654420,-4.719080
0.657227,4.815324,1.630476,-4.888291
0.681325,4.759587,1.605690,-5.049498
0.705140,4.702738,1.580103,-5.202522
0.728666,4.644837,1.553757,-5.347213
0.751898,4.585913,1.526694,-5.483439
0.774831,4.525969,1.498956,-5.611089
0.797460,4.464981,1.470585,-5.730070
0.819781,4.402901,1.441627,-5.840304
0.841788,4.339665,1.412124,-5.941731
0.863475,4.275191,1.382121,-6.034311
0.884836,4.209384,1.351662,-6.118024
0.905865,4.142137,1.320792,-6.192873
0.926553,4.073339,1.289554,-6.258888
0.946894,4.002869,1.257994,-6.316127
0.966880,3.930607,1.226154,-6.364679
0.986499,3.856428,1.194079,-6.404668
1.005745,3.780209,1.161811,-6.436254
1.024605,3.701831,1.129393,-6.459632
1.043068,3.621177,1.096864,-6.475039
1.061125,3.538134,1.064266,-6.482748
1.078761,3.452597,1.031636,-6.483071
1.095966,3.364469,0.999011,-6.476355
1.112725,3.273660,0.966427,-6.462985
1.129024,3.180093,0.933915,-6.443376
1.144851,3.083700,0.901508,-6.417971
1.160191,2.984424,0.869234,-6.387240
1.175028,2.882223,0.837119,-6.351671
1.189350,2.777068,0.805187,-6.311770
1.203139,2.668944,0.773460,-6.268050
1.216382,2.557851,0.741956,-6.221029
1.229064,2.443805,0.710692,-6.171223
1.241169,2.326838,0.679681,-6.119141
1.252684,2.206996,0.648934,-6.065279
1.263593,2.084344,0.618460,-6.010110
1.273882,1.958959,0.588264,-5.954086
1.283538,1.830935,0.558352,-5.897627
1.292548,1.700380,0.528724,-5.841120
1.300898,1.567415,0.499382,-5.784913
1.308578,1.432171,0.470322,-5.729310
1.315574,1.294792,0.441541,-5.674573
1.321878,1.155431,0.413036,-5.620918
1.327479,1.014245,0.384801,-5.568509
